"Ano";"BCG";"Hepatite B  em crianças até 30 dias";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Poliomielite 4 anos";"Febre Amarela";"Hepatite A";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP";"DTP REF (4 e 6 anos)";"Tríplice Bacteriana(DTP)(1º ref)";"Sarampo";"Haemophilus influenzae b";"Dupla adulto e tríplice acelular gestante";"dTpa gestante";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"1994";"65,97";"0";"0";"0";"12,60";"0";"0";"26,43";"0";"3,68";"0";"0";"0";"0";"0";"0";"0";"44,92";"0";"0";"49,73";"0";"0";"0";"0";"1,79";"25,86"
"1995";"85,86";"0";"0";"0";"23,48";"0";"0";"33,56";"0";"13,06";"0";"0";"0";"0";"0";"0";"0";"50,70";"0";"0";"76,44";"0";"0";"0";"0";"2,07";"31,92"
"1996";"78,69";"0";"0";"0";"26,41";"0";"0";"37,42";"0";"17,81";"0";"0";"0";"0";"0";"0";"0";"53,92";"0";"0";"46,14";"0";"0";"0";"0";"48,25";"39,65"
"1997";"96,76";"0";"0";"0";"9,07";"0";"0";"46,65";"0";"31,91";"0";"0";"0";"0";"0";"0";"0";"51,39";"0";"0";"80,98";"0";"0";"0";"0";"86,31";"54,38"
"1998";"76,04";"0";"0";"0";"19,98";"0";"0";"73,87";"0";"82,21";"0";"0";"0";"0";"0";"0";"0";"56,87";"0";"0";"58,54";"0";"0";"0";"0";"96,71";"62,33"
"1999";"82,97";"0";"0";"0";"56,86";"0";"0";"73,24";"0";"83,96";"0";"0";"0";"0";"0";"0";"0";"61,55";"0";"0";"76,73";"0,40";"0";"0";"0";"93,58";"73,71"
"2000";"89,04";"0";"0";"0";"56,71";"0";"0";"94,45";"0";"76,99";"0";"0";"0";"0";"6,07";"0";"0";"62,31";"0";"0";"94,97";"57,46";"0";"0";"0";"79,54";"68,95"
"2001";"100,74";"0";"0";"0";"68,14";"0";"0";"98,98";"0";"92,19";"0";"0";"0";"0";"43,16";"0";"0";"77,80";"0";"0";"106,85";"70,21";"0";"0";"0";"86,62";"78,24"
"2002";"105,72";"0";"0";"0";"80,45";"0";"0";"108,61";"0";"87,66";"0";"0";"0";"0";"98,80";"0";"0";"46,64";"0";"0";"100,59";"31,02";"0";"0";"38,68";"82,61";"77,47"
"2003";"99,80";"0";"0";"0";"79,46";"0";"0";"102,21";"0";"88,26";"0";"0";"0";"0";"107,76";"0";"0";"2,26";"0";"0";"2,19";"1,00";"0";"0";"93,35";"83,16";"72,86"
"2004";"121,11";"0";"0";"0";"102,78";"0";"0";"126,38";"0";"89,02";"0";"0";"0";"0";"129,81";"0";"0";"114,52";"0";"0";"0";"0";"0";"0";"114,52";"92,36";"94,24"
"2005";"130,15";"0";"0";"0";"105,07";"0";"0";"117,28";"0";"96,51";"0";"0";"0";"0";"114,12";"0";"0";"114,15";"0";"0";"0";"0";"0";"0";"114,15";"79,07";"84,12"
"2006";"126,57";"0";"26,97";"0";"108,69";"0";"0";"120,56";"0";"100,03";"0";"0";"0";"0";"116,88";"0";"0";"112,99";"0";"0";"0";"0";"0";"0";"112,96";"81,49";"84,35"
"2007";"122,18";"0";"55,85";"0";"106,73";"0";"0";"112,81";"0";"105,77";"0";"0";"0";"0";"119,79";"0";"0";"111,80";"0";"0";"0";"0";"0";"0";"111,68";"82,83";"86,04"
"2008";"115,24";"0";"58,43";"0";"99,35";"0";"0";"102,73";"0";"93,75";"0";"0";"0";"0";"108,15";"0";"0";"101,44";"0";"0";"0";"0";"0";"0";"101,19";"80,27";"82,16"
"2009";"113,73";"0";"65,40";"0";"105,32";"0";"0";"104,42";"0";"103,72";"0";"0";"0";"0";"115,20";"0";"0";"104,77";"0";"0";"0";"0";"0";"0";"104,59";"77,91";"81,59"
"2010";"108,26";"0";"61,52";"5,29";"98,27";"0";"6,52";"100,18";"0";"94,83";"0";"0";"0";"0";"107,24";"0";"0";"99,30";"0";"0";"0";"0";"0";"0";"98,63";"77,72";"79,76"
"2011";"103,85";"0";"65,37";"69,89";"94,64";"0";"51,62";"95,98";"0";"89,90";"0";"0";"0";"0";"104,33";"0";"0";"95,12";"0";"0";"0";"0";"0";"0";"93,76";"73,66";"80,76"
"2012";"98,33";"0";"71,13";"85,60";"94,93";"18,97";"73,50";"94,41";"0";"91,83";"0";"0";"0";"0";"97,99";"0";"0";"89,53";"0";"0";"0";"0";"0";"0";"70,56";"66,73";"74,66"
"2013";"100,76";"0";"82,71";"90,89";"94,97";"90,31";"80,26";"97,20";"0";"90,80";"0";"77,21";"76,86";"88,14";"100,18";"46,47";"22,78";"92,60";"0";"85,55";"0";"0";"49,65";"4,52";"87,63";"46,32";"67,83"
"2014";"93,17";"71,49";"80,27";"84,18";"85,79";"85,08";"72,70";"85,40";"0";"74,83";"32,63";"69,88";"69,99";"72,28";"117,62";"72,92";"66,99";"85,15";"2,52";"74,45";"0";"0";"35,69";"6,35";"80,58";"126,35";"71,86"
"2015";"89,26";"72,44";"81,32";"86,30";"84,46";"83,56";"72,36";"84,45";"0";"70,42";"85,61";"71,08";"69,21";"68,81";"86,40";"58,26";"51,44";"83,59";"0";"71,16";"0";"0";"23,69";"17,30";"83,32";"193,49";"80,13"
"2016";"82,52";"63,05";"76,14";"80,47";"86,49";"74,70";"85,73";"72,09";"0";"70,09";"65,45";"67,44";"83,35";"55,91";"78,98";"69,45";"69,48";"74,71";"2,41";"56,23";"0";"0";"21,84";"22,82";"7,19";"19,83";"46,33"
"2017";"90,79";"72,95";"72,05";"80,31";"72,80";"72,74";"86,37";"77,54";"32,92";"70,24";"74,14";"70,97";"74,23";"60,35";"79,62";"62,62";"58,93";"0";"50,15";"65,27";"0";"0";"24,94";"31,38";"0";"0";"65,33"
"2018";"91,70";"78,13";"79,85";"75,96";"73,92";"73,92";"87,94";"78,71";"34,99";"70,48";"76,01";"74,49";"70,70";"61,53";"87,98";"70,09";"55,50";"0";"47,04";"64,41";"0";"0";"40,87";"56,86";"0";"0";"68,51"
"2019";"86,00";"76,41";"78,62";"83,22";"71,43";"71,43";"88,12";"77,63";"43,96";"67,83";"78,73";"79,51";"79,91";"66,10";"89,85";"77,97";"70,08";"0";"41,23";"55,10";"0";"0";"47,09";"64,75";"0";"0";"70,70"
"2020";"69,57";"57,80";"63,04";"67,64";"59,44";"59,44";"70,72";"61,49";"38,19";"53,13";"61,31";"63,54";"64,96";"54,78";"64,79";"53,62";"45,10";"0";"45,70";"60,96";"0";"0";"28,67";"48,04";"0";"0";"56,52"
"2021";"12,97";"0";"11,16";"10,41";"9,38";"9,38";"10,90";"9,64";"0";"8,04";"6,69";"7,40";"7,90";"5,71";"7,44";"3,69";"0,97";"0";"0";"6,24";"0";"0";"0";"0";"0";"0";"8,35"
"Total";"96,43";"61,60";"48,43";"48,96";"72,17";"67,93";"68,94";"84,76";"37,51";"74,17";"57,50";"69,39";"71,23";"63,73";"92,01";"62,14";"54,51";"76,64";"26,07";"64,38";"69,23";"18,43";"34,05";"31,74";"71,23";"79,18";"72,56"
